Block size (KB),IOPS,Throughput (MB/s),Latency (us)
4,0,0,0
8,0,0,0
16,0,0,0
32,0,0,0
64,0,0,0
128,0,0,0
256,0,0,0
512,0,0,0
1024,0,0,0
