Block size (KB),IOPS,Throughput (MB/s),Latency (us)
4,2627,10,6084
8,6893,55,2320
16,5661,90,2824
32,2764,88,5785
64,2076,132,7703
128,675,86,23567
256,220,56,71654
512,154,79,102816
1024,152,156,104714
