Block size (KB),IOPS,Throughput (MB/s),Latency (us)
4,5103,20,3134
8,9517,76,1680
16,14700,235,1087
32,9369,299,1706
64,4723,302,3386
128,2432,311,6575
256,1126,288,14203
512,566,290,28232
1024,291,298,54834
