Block size (KB),IOPS,Throughput (MB/s),Latency (us)
4,3573,14,4476
8,1717,13,9317
16,1635,26,9778
32,936,29,17089
64,395,25,40375
128,18,2,866371
256,69,17,220703
512,43,22,365888
1024,17,17,914679
