Block size (KB),IOPS,Throughput (MB/s),Latency (us)
4,1712,6,6499
8,5367,42,2325
16,1434,22,8812
32,1377,44,8648
64,253,16,34083
128,295,37,42629
256,221,56,53350
512,151,77,64999
1024,105,107,78984
