Block size (KB),IOPS,Throughput (MB/s),Latency (us)
4,1706,6,2821
8,5367,42,653
16,1425,22,2351
32,1367,43,2983
64,255,16,28495
128,295,37,11326
256,222,57,18770
512,154,79,39778
1024,109,112,69832
