Block size (KB),IOPS,Throughput (MB/s),Latency (us)
4,1034,4,83
8,602,4,81
16,686,10,104
32,942,30,135
64,369,23,138
128,155,19,2698
256,7,1,785249
512,92,47,67238
1024,46,47,170225
