Block size (KB),IOPS,Throughput (MB/s),Latency (us)
4,1034,4,15377
8,600,4,26551
16,686,10,23212
32,941,30,16850
64,371,23,42919
128,153,19,101541
256,6,1,1601084
512,89,45,109409
1024,43,45,185309
